"AREA";"PERIMETER";"PR_";"PR_ID";"RINGS_OK";"RINGS_NOK";"WRSPR";"PR";"PATH";"ROW";"MODE";"DAYCLASS";"SEQUENCE";"ctry_id";"ctry_name";"ctry_abbr"
17.59412;26.34467;865;865;1;0;61121;61121;61;121;"D";1;3097;12;"Antarctica";"AT"
17.88097;25.68318;866;866;1;0;61122;61122;61;122;"D";1;3098;12;"Antarctica";"AT"
17.59438;26.3451;991;991;1;0;61247;61247;61;247;"D";1;3223;40;"Canada";"CA"
7.74491;14.25878;1002;1002;1;0;77010;77010;77;10;"D";1;3234;239;"United States of America";"US"
7.26977;13.43508;1003;1003;1;0;77011;77011;77;11;"D";1;3235;239;"United States of America";"US"
6.84788;12.71918;1004;1004;1;0;77012;77012;77;12;"D";1;3236;239;"United States of America";"US"
6.47325;12.09713;1005;1005;1;0;77013;77013;77;13;"D";1;3237;239;"United States of America";"US"
6.13738;11.55188;1006;1006;1;0;77014;77014;77;14;"D";1;3238;239;"United States of America";"US"
5.83598;11.07248;1007;1007;1;0;77015;77015;77;15;"D";1;3239;239;"United States of America";"US"
5.56414;10.6484;1008;1008;1;0;77016;77016;77;16;"D";1;3240;239;"United States of America";"US"
5.31932;10.27308;1009;1009;1;0;77017;77017;77;17;"D";1;3241;239;"United States of America";"US"
5.09607;9.93669;1010;1010;1;0;77018;77018;77;18;"D";1;3242;239;"United States of America";"US"
4.38564;8.89833;1014;1014;1;0;77022;77022;77;22;"D";1;3246;239;"United States of America";"US"
4.24222;8.69448;1015;1015;1;0;77023;77023;77;23;"D";1;3247;239;"United States of America";"US"
2.58378;6.44022;1054;1054;1;0;77062;77062;77;62;"D";1;3286;124;"Republic of Kiribati";"KI"
2.59449;6.45419;1056;1056;1;0;77064;77064;77;64;"D";1;3288;232;"Tuvalu";"TU"
2.60156;6.46351;1057;1057;1;0;77065;77065;77;65;"D";1;3289;232;"Tuvalu";"TU"
3.58803;7.78452;1083;1083;1;0;77091;77091;77;91;"D";1;3315;173;"New Zealand";"NZ"
3.67742;7.90698;1084;1084;1;0;77092;77092;77;92;"D";1;3316;173;"New Zealand";"NZ"
3.77338;8.0391;1085;1085;1;0;77093;77093;77;93;"D";1;3317;173;"New Zealand";"NZ"
6.84827;12.71943;1100;1100;1;0;77108;77108;77;108;"D";1;3332;12;"Antarctica";"AT"
7.27013;13.43529;1101;1101;1;0;77109;77109;77;109;"D";1;3333;12;"Antarctica";"AT"
